symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
600039,四川路桥,,neutral,59.81,59.81,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,59.5,0.9,58.595041322314046,hold,PE_TTM,100.0
600048,保利发展,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
600050,中国联通,,neutral,71.31,71.31,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,90.17,0.9,19.669421487603305,strong_buy,PE_TTM,100.0
600061,国投资本,,neutral,69.39,69.39,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,85.04,0.9,26.611570247933887,accumulate,PE_TTM,100.0
600066,宇通客车,,neutral,74.33,74.33,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,98.22,0.9,3.553719008264463,strong_buy,PE_TTM,100.0
600085,同仁堂,,neutral,65.62,65.62,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,75.0,0.9,40.0,accumulate,PE_TTM,100.0
600089,特变电工,,neutral,43.34,43.34,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,15.56,0.9,90.6611570247934,avoid,PE_TTM,100.0
600104,上汽集团,,neutral,56.46,56.46,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,50.55,0.9,69.33884297520662,hold,PE_TTM,100.0
600111,北方稀土,,neutral,51.29,51.29,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,36.78,0.9,77.93388429752066,avoid,PE_TTM,100.0
600115,中国东航,,neutral,62.5,62.5,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.67,0.9,50.0,hold,PE_TTM,100.0
600150,中国船舶,,neutral,74.97,74.97,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.92,0.9,0.1652892561983471,strong_buy,PE_TTM,100.0
