symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
002466,天齐锂业,有色金属,neutral,57.26,57.26,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,52.69,0.9,61.239669421487605,hold,PB,100.0
002475,立讯精密,电子,neutral,51.7,51.7,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,37.88,0.9,77.27272727272727,avoid,PE_TTM,100.0
002493,荣盛石化,石油化工,neutral,58.65,58.65,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,56.39,0.9,62.33230134158927,hold,PE_TTM,100.0
002594,比亚迪,汽车,neutral,62.73,62.73,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,67.29,0.9,49.256198347107436,hold,PE_TTM,100.0
002600,领益智造,电子,neutral,37.76,37.76,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.69,0.9,99.58677685950413,avoid,PE_TTM,100.0
002601,龙佰集团,化工,neutral,37.65,37.65,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.41,0.9,99.75206611570248,avoid,PE_TTM,100.0
002625,光启技术,军工,neutral,62.6,62.6,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.94,0.9,49.6694214876033,hold,PE_TTM,100.0
002648,卫星化学,化工,neutral,50.52,50.52,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,34.71,0.9,79.17355371900825,avoid,PE_TTM,100.0
002709,天赐材料,化工,neutral,62.11,62.11,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,65.63,0.9,51.2396694214876,hold,PE_TTM,100.0
002714,牧原股份,农业,neutral,43.48,43.48,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,15.94,0.9,90.43683589138135,avoid,PE_TTM,100.0
002736,国信证券,证券,neutral,73.54,73.54,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.12,0.9,7.768595041322314,strong_buy,PE_TTM,100.0
002916,深南电路,电子,neutral,39.72,39.72,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,5.92,0.9,96.44628099173553,avoid,PE_TTM,100.0
002920,德赛西威,汽车,neutral,73.44,73.44,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,95.83,0.9,8.347107438016529,strong_buy,PE_TTM,100.0
002938,鹏鼎控股,电子,neutral,37.55,37.55,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.14,0.9,99.91735537190083,avoid,PE_TTM,100.0
003816,中国广核,电力,neutral,37.55,37.55,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.14,0.9,99.91735537190083,avoid,PE_TTM,100.0
300014,亿纬锂能,有色金属,neutral,61.93,61.93,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,65.14,0.9,43.80165289256198,hold,PB,100.0
300015,爱尔眼科,医药,neutral,73.59,73.59,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.24,0.9,7.520661157024794,strong_buy,PE_TTM,100.0
